region,Value
17Networks_RH_ContB_Temp_1,5.90E+00
17Networks_RH_ContB_Temp_2,3.51E+00
17Networks_RH_ContB_IPL_1,5.93E+00
17Networks_RH_ContB_IPL_2,4.33E+00
17Networks_RH_ContB_PFCld_1,2.95E+00
17Networks_RH_ContB_PFCld_2,5.34E+00
17Networks_RH_ContB_PFClv_1,4.58E+00
17Networks_RH_ContB_PFClv_2,5.12E+00
17Networks_RH_ContB_PFCmp_1,4.20E+00
17Networks_RH_ContB_PFCld_3,5.44E+00
17Networks_RH_ContC_pCun_1,2.32E+00
17Networks_RH_ContC_pCun_2,2.67E+00
17Networks_RH_ContC_Cingp_1,1.47E+00
17Networks_RH_DefaultA_IPL_1,5.84E+00
17Networks_RH_DefaultA_PFCd_1,4.64E+00
17Networks_RH_DefaultA_pCunPCC_1,5.66E+00
17Networks_RH_DefaultA_PFCm_1,3.93E+00
17Networks_RH_DefaultA_PFCm_2,-1.41E-02
17Networks_RH_DefaultA_PFCm_3,6.14E+00
17Networks_RH_DefaultB_Temp_1,6.03E+00
17Networks_RH_DefaultB_AntTemp_1,4.91E+00
17Networks_RH_DefaultB_PFCd_1,6.39E+00
17Networks_RH_DefaultB_PFCv_1,3.85E+00
17Networks_RH_DefaultC_IPL_1,2.86E+00
17Networks_RH_DefaultC_Rsp_1,2.20E+00
17Networks_RH_DefaultC_PHC_1,-1.11E+00
17Networks_RH_TempPar_1,7.79E-01
17Networks_RH_TempPar_2,4.89E-01
17Networks_RH_TempPar_3,4.55E-01
17Networks_RH_TempPar_4,-1.38E+00
